Title,Description,Due Date,Priority,Category,Assigned To,Completed
Book venue,Research and book ceremony and reception venues,2026-01-15,high,venue,Partner 1,No
Hire photographer,Interview and book wedding photographer,2026-02-01,high,photography,,No
Send save the dates,Mail save the dates to all guests,2026-03-01,medium,invitations,Partner 2,No
Order wedding cake,Schedule tasting and place cake order,2026-04-01,medium,catering,,No
Book florist,Choose flowers and book florist,2026-03-15,medium,flowers,,No
Final dress fitting,Schedule final fitting appointment,2026-05-15,high,attire,Partner 1,No
Send invitations,Mail formal invitations to all guests,2026-04-15,high,invitations,,No
Confirm vendor details,Call all vendors to confirm day-of details,2026-06-01,high,vendors,,No
Create seating chart,Assign all guests to tables,2026-05-20,medium,reception,,No
Write vows,Write personal wedding vows,2026-05-01,medium,ceremony,,No
